iter	Passed	Remaining
0	312	625267
1	634	633821
2	869	578885
3	1117	557694
4	1384	552450
5	1579	524791
6	1769	503877
7	2006	499725
8	2191	484859
9	2402	478189
10	2624	474573
11	2874	476160
12	3113	475951
13	3333	472837
14	3527	466751
15	3727	462225
16	3927	458120
17	4174	459643
18	4374	456059
19	4559	451387
20	4813	453569
21	5054	454487
22	5268	452859
23	5567	458428
24	5781	456761
25	6039	458557
26	6266	457892
27	6504	458072
28	6694	454988
29	6908	453667
30	7139	453477
31	7345	451738
32	7586	452217
33	7806	451380
34	7998	449077
35	8176	446082
36	8371	444152
37	8572	442598
38	8807	442870
39	8999	440972
40	9186	438939
41	9403	438376
42	9600	436947
43	9858	438257
44	10137	440403
45	10363	440228
46	10578	439554
47	10766	437832
48	10955	436193
49	11149	434822
50	11413	436190
51	11627	435597
52	11844	435122
53	12079	435323
54	12429	439557
55	12787	443903
56	13070	445559
57	13317	445915
58	13575	446624
59	13795	446066
60	14033	446070
61	14253	445544
62	14499	445788
63	14764	446635
64	15013	446952
65	15251	446909
66	15448	445688
67	15681	445525
68	15975	447074
69	16214	447064
70	16457	447136
71	16683	446738
72	16917	446566
73	17148	446333
74	17419	447092
75	17664	447180
76	18117	452461
77	18318	451390
78	18541	450863
79	18787	450899
80	19020	450631
81	19255	450390
82	19448	449197
83	19660	448441
84	19869	447643
85	20113	447633
86	20300	446368
87	20495	445301
88	20678	443999
89	20869	442894
90	21090	442445
91	21322	442213
92	21550	441905
93	21800	442038
94	22077	442718
95	22278	441865
96	22470	440847
97	22653	439657
98	22865	439059
99	23138	439640
100	23378	439560
101	23634	439780
102	23884	439883
103	24080	439007
104	24299	438555
105	24491	437620
106	24676	436567
107	24893	436097
108	25149	436307
109	25411	436623
110	25630	436181
111	25846	435698
112	26100	435858
113	26359	436088
114	26564	435428
115	26808	435411
116	27033	435082
117	27260	434789
118	27455	433982
119	27671	433517
120	27913	433465
121	28223	434452
122	28424	433761
123	28661	433619
124	28884	433265
125	29093	432706
126	29299	432110
127	29504	431508
128	29726	431149
129	29921	430416
130	30178	430564
131	30446	430866
132	30656	430346
133	30886	430103
134	31089	429499
135	31287	428825
136	31488	428200
137	31702	427758
138	31914	427282
139	32111	426626
140	32322	426147
141	32522	425535
142	32782	425715
143	32976	425031
144	33199	424729
145	33393	424053
146	33613	423706
147	33841	423479
148	34093	423537
149	34365	423843
150	34623	423961
151	34887	424154
152	35209	425046
153	35469	425175
154	35726	425258
155	36052	426156
156	36307	426212
157	36532	425899
158	36784	425916
159	37014	425664
160	37239	425365
161	37502	425486
162	37760	425557
163	37958	424954
164	38169	424485
165	38382	424055
166	38574	423390
167	38780	422892
168	38979	422316
169	39164	421596
170	39356	420949
171	39597	420840
172	39923	421623
173	40388	423849
174	40586	423259
175	40770	422534
176	40986	422142
177	41180	421526
178	41391	421083
179	41598	420604
180	41834	420428
181	42078	420324
182	42269	419687
183	42455	419016
184	42648	418417
185	42830	417715
186	43042	417302
187	43287	417220
188	43500	416824
189	43718	416480
190	43909	415873
191	44148	415735
192	44397	415681
193	44598	415181
194	44801	414697
195	45033	414493
196	45249	414134
197	45517	414258
198	45721	413793
199	45918	413266
200	46247	413928
201	46571	414532
202	46790	414198
203	47000	413792
204	47191	413213
205	47388	412695
206	47590	412222
207	47785	411689
208	48028	411575
209	48310	411791
210	48645	412450
211	48947	412823
212	49137	412247
213	49443	412646
214	49798	413439
215	50069	413537
216	50258	412951
217	50437	412293
218	50652	411927
219	50838	411332
220	51072	411119
221	51288	410767
222	51462	410084
223	51657	409571
224	51916	409560
225	52248	410130
226	52445	409626
227	52641	409127
228	52863	408828
229	53121	408805
230	53359	408624
231	53649	408845
232	53930	408995
233	54253	409455
234	54550	409711
235	54893	410302
236	55170	410404
237	55382	410015
238	55631	409906
239	55883	409810
240	56204	410222
241	56579	411019
242	56839	410972
243	57055	410611
244	57274	410275
245	57523	410144
246	57804	410248
247	58149	410801
248	58385	410575
249	58642	410500
250	58844	410039
251	59085	409848
252	59300	409476
253	59528	409202
254	59739	408804
255	59932	408288
256	60148	407931
257	60398	407805
258	60605	407390
259	60809	406954
260	61012	406519
261	61202	405990
262	61400	405521
263	61612	405146
264	61812	404694
265	62016	404273
266	62211	403793
267	62400	403277
268	62653	403169
269	62853	402727
270	63057	402312
271	63276	401993
272	63520	401833
273	63808	401946
274	64089	402016
275	64283	401538
276	64480	401082
277	64672	400596
278	64928	400507
279	65130	400085
280	65327	399639
281	65528	399209
282	65714	398700
283	65898	398175
284	66086	397677
285	66273	397175
286	66444	396585
287	66634	396102
288	66823	395621
289	67055	395393
290	67276	395107
291	67497	394815
292	67682	394311
293	67944	394261
294	68227	394329
295	68459	394104
296	68726	394080
297	68979	393971
298	69189	393617
299	69436	393473
300	69718	393528
301	69988	393513
302	70251	393455
303	70512	393386
304	70756	393219
305	70998	393044
306	71184	392556
307	71379	392123
308	71619	391939
309	71876	391840
310	72076	391438
311	72274	391022
312	72467	390582
313	72659	390140
314	72855	389721
315	73048	389284
316	73242	388856
317	73428	388388
318	73615	387925
319	73838	387652
320	74073	387444
321	74272	387049
322	74470	386647
323	74663	386219
324	74864	385840
325	75097	385622
326	75286	385182
327	75485	384790
328	75731	384642
329	76047	384847
330	76328	384872
331	76529	384489
332	76736	384144
333	77008	384122
334	77265	384019
335	77493	383775
336	77686	383360
337	77925	383173
338	78153	382930
339	78362	382594
340	78601	382403
341	78819	382111
342	79123	382235
343	79365	382062
344	79654	382110
345	79871	381812
346	80080	381478
347	80293	381162
348	80487	380760
349	80790	380868
350	81105	381033
351	81305	380659
352	81499	380253
353	81688	379829
354	81910	379555
355	82161	379421
356	82413	379284
357	82649	379079
358	82896	378920
359	83181	378936
360	83377	378545
361	83647	378495
362	84036	378976
363	84285	378820
364	84480	378424
365	84672	378019
366	84879	377677
367	85112	377454
368	85365	377320
369	85574	376988
370	85771	376607
371	86004	376387
372	86245	376195
373	86487	376011
374	86694	375676
375	86953	375563
376	87154	375202
377	87356	374845
378	87750	375313
379	88047	375359
380	88275	375114
381	88533	374991
382	88741	374662
383	88944	374308
384	89194	374151
385	89419	373895
386	89624	373553
387	89913	373560
388	90194	373531
389	90385	373130
390	90589	372784
391	90785	372407
392	90988	372058
393	91246	371933
394	91461	371632
395	91656	371253
396	91860	370912
397	92079	370631
398	92331	370483
399	92542	370169
400	92742	369813
401	92989	369645
402	93280	369649
403	93483	369306
404	93672	368908
405	93908	368693
406	94137	368455
407	94347	368138
408	94597	367983
409	94858	367864
410	95118	367744
411	95377	367621
412	95628	367462
413	95866	367257
414	96077	366946
