,id,rank_pred,rank_real
0,10,0,0
1,10,1,1
2,10,2,2
3,10,3,3
4,10,4,4
5,25,0,0
6,25,1,1
7,40,0,0
8,40,1,1
9,40,2,2
10,55,0,0
11,55,1,1
12,55,2,2
13,55,3,3
14,55,4,4
15,70,0,0
16,70,1,1
17,70,2,2
18,70,3,4
19,70,4,3
20,85,0,0
21,85,1,1
22,85,2,2
23,85,3,3
24,100,0,0
25,100,1,1
26,100,2,2
27,100,3,3
28,100,4,4
29,115,0,0
30,115,1,1
31,115,2,2
32,115,3,3
33,130,0,0
34,130,1,1
35,130,2,2
36,145,0,0
37,145,1,1
38,145,2,2
39,145,3,3
40,160,0,0
41,160,1,1
42,160,2,2
43,160,3,4
44,160,4,3
45,175,0,0
46,175,1,1
47,190,0,0
48,190,1,1
49,190,2,2
50,205,0,0
51,205,1,1
52,205,2,2
53,205,3,3
54,220,0,0
55,220,1,1
56,220,2,2
57,235,0,0
58,235,1,1
59,235,2,2
60,235,3,3
61,250,0,0
62,250,1,1
63,250,2,2
64,250,3,3
65,265,0,0
66,265,1,1
67,265,2,2
68,265,3,3
69,265,4,4
70,280,0,0
71,280,1,1
72,280,2,2
73,295,0,0
74,295,1,2
75,295,2,1
76,310,0,0
77,310,1,2
78,310,2,1
79,325,0,0
80,325,1,1
81,325,2,2
82,340,0,0
83,340,1,1
84,340,2,2
85,355,0,0
86,370,0,0
87,370,1,1
88,370,2,2
89,370,3,3
90,385,0,0
91,385,1,1
92,385,2,2
93,385,3,3
94,400,0,0
95,400,1,1
96,400,2,2
97,415,0,0
98,415,1,1
99,415,2,2
100,415,3,3
101,415,4,4
102,430,0,0
103,430,1,1
104,430,2,2
105,445,0,1
106,445,1,0
107,445,2,3
108,460,0,0
109,460,1,1
110,475,0,0
111,475,1,1
112,475,2,2
113,490,0,0
114,490,1,1
115,490,2,2
116,490,3,3
117,505,0,0
118,505,1,1
119,505,2,2
120,520,0,0
121,520,1,1
122,520,2,2
123,520,3,3
124,535,0,0
125,535,1,1
126,535,2,2
127,535,3,3
128,550,0,0
129,550,1,1
130,550,2,2
131,565,0,0
132,565,1,1
133,565,2,2
134,565,3,3
135,565,4,4
136,580,0,0
137,580,1,1
138,580,2,2
139,580,3,4
140,595,0,0
141,595,1,1
142,595,2,2
143,595,3,3
144,595,4,4
145,610,0,0
146,610,1,2
147,610,2,1
148,625,0,0
149,625,1,1
150,625,2,2
151,625,3,3
152,640,0,0
153,640,1,1
154,640,2,2
155,640,3,3
156,655,0,0
157,655,1,1
158,655,2,2
159,655,3,3
160,670,0,0
161,670,1,2
162,670,2,1
163,670,3,4
164,685,0,0
165,685,1,2
166,700,0,0
167,700,1,1
168,700,2,2
169,700,3,3
170,715,0,0
171,715,1,1
172,715,2,2
173,730,0,0
174,730,1,1
175,730,2,2
176,730,3,3
177,745,0,0
178,745,1,1
179,745,2,2
180,745,3,3
181,745,4,4
182,760,0,0
183,760,1,1
184,760,2,2
185,760,3,3
186,775,0,0
187,775,1,1
188,775,2,2
189,790,0,0
190,790,1,1
191,790,2,2
192,790,3,3
193,805,0,0
194,805,1,1
195,805,2,2
196,805,3,3
197,820,0,0
198,820,1,2
199,820,2,1
200,820,3,3
201,835,0,0
202,835,1,2
203,835,2,1
204,835,3,3
205,850,0,0
206,850,1,1
207,850,2,2
208,850,3,4
209,850,4,3
210,865,0,0
211,865,1,1
212,865,2,2
213,865,3,3
214,880,0,0
215,880,1,1
216,895,0,0
217,895,1,1
218,895,2,2
219,895,3,4
220,895,4,3
221,910,0,0
222,910,1,1
223,925,0,0
224,925,1,1
225,925,2,2
226,940,0,0
227,940,1,1
228,940,2,2
229,940,3,4
230,940,4,3
231,955,0,0
232,955,1,1
233,955,2,2
234,970,0,0
235,970,1,1
236,970,2,4
237,985,0,0
238,985,1,1
239,985,2,2
240,985,3,3
241,985,4,4
242,1000,0,0
243,1000,1,1
244,1000,2,2
245,1000,3,3
246,1015,0,0
247,1015,1,1
248,1015,2,2
249,1030,0,0
250,1030,1,1
251,1030,2,2
252,1030,3,4
253,1045,0,0
254,1045,1,1
255,1045,2,2
256,1060,0,0
257,1060,1,1
258,1060,2,2
259,1060,3,3
260,1060,4,4
261,1075,0,0
262,1075,1,1
263,1075,2,2
264,1075,3,3
265,1090,0,0
266,1090,1,1
267,1090,2,2
268,1090,3,3
269,1090,4,4
270,1105,0,0
271,1105,1,2
272,1105,2,1
273,1105,3,4
274,1120,0,0
275,1120,1,1
276,1120,2,2
277,1135,0,1
278,1135,1,0
279,1135,2,2
280,1135,3,3
281,1150,0,0
282,1150,1,1
283,1165,0,0
284,1165,1,1
285,1165,2,2
286,1165,3,3
287,1165,4,4
288,1180,0,0
289,1180,1,1
290,1180,2,2
291,1180,3,3
292,1180,4,4
293,1195,0,0
294,1195,1,1
295,1195,2,2
296,1195,3,3
297,1210,0,0
298,1210,1,1
299,1210,2,2
300,1210,3,3
301,1225,0,0
302,1225,1,1
303,1225,2,2
304,1225,3,3
305,1240,0,0
306,1240,1,1
307,1240,2,2
308,1240,3,3
309,1255,0,0
310,1255,1,1
311,1255,2,2
312,1255,3,3
313,1255,4,4
314,1270,0,0
315,1270,1,1
316,1270,2,2
317,1270,3,3
318,1285,0,0
319,1285,1,1
320,1285,2,2
321,1285,3,3
322,1300,0,0
323,1300,1,2
324,1300,2,1
325,1300,3,4
326,1315,0,0
327,1315,1,1
328,1330,0,0
329,1330,1,1
330,1330,2,2
331,1330,3,3
332,1345,0,0
333,1345,1,1
334,1345,2,2
335,1360,0,0
336,1360,1,1
337,1360,2,2
338,1360,3,3
339,1375,0,1
340,1375,1,0
341,1375,2,2
342,1375,3,3
343,1390,0,0
344,1390,1,1
345,1390,2,2
346,1390,3,3
347,1390,4,4
348,1405,0,0
349,1405,1,1
350,1420,0,0
351,1420,1,1
352,1420,2,2
353,1420,3,3
354,1435,0,0
355,1435,1,1
356,1435,2,2
357,1435,3,4
358,1450,0,0
359,1450,1,1
360,1450,2,2
361,1465,0,0
362,1465,1,1
363,1465,2,2
364,1465,3,3
365,1480,0,0
366,1480,1,1
367,1480,2,2
368,1495,0,0
369,1495,1,1
370,1495,2,2
371,1495,3,3
372,1495,4,4
373,1510,0,0
374,1510,1,1
375,1510,2,2
376,1510,3,3
377,1510,4,4
378,1525,0,0
379,1525,1,1
380,1525,2,2
381,1540,0,1
382,1540,1,0
383,1540,2,2
384,1555,0,0
385,1555,1,1
386,1555,2,2
387,1555,3,3
388,1570,0,0
389,1570,1,1
390,1570,2,2
391,1570,3,3
392,1585,0,0
393,1585,1,1
394,1585,2,2
395,1585,3,3
396,1600,0,0
397,1600,1,1
398,1600,2,2
399,1600,3,3
400,1615,0,0
401,1615,1,1
402,1615,2,2
403,1615,3,3
404,1630,0,0
405,1630,1,1
406,1630,2,2
407,1645,0,0
408,1645,1,1
409,1645,2,2
410,1645,3,3
411,1645,4,4
412,1660,0,0
413,1660,1,1
414,1660,2,2
415,1675,0,0
416,1675,1,1
417,1675,2,2
418,1690,0,0
419,1690,1,1
420,1690,2,3
421,1705,0,1
422,1705,1,0
423,1705,2,2
424,1705,3,3
425,1705,4,4
426,1720,0,0
427,1720,1,1
428,1720,2,2
429,1735,0,0
430,1735,1,1
431,1735,2,2
432,1750,0,0
433,1750,1,1
434,1750,2,2
435,1765,0,0
436,1765,1,1
437,1765,2,2
438,1765,3,4
439,1780,0,0
440,1780,1,1
441,1780,2,2
442,1780,3,3
443,1795,0,0
444,1795,1,1
445,1795,2,2
446,1795,3,3
447,1810,0,0
448,1810,1,1
449,1810,2,2
450,1810,3,3
451,1825,0,0
452,1825,1,1
453,1825,2,2
454,1840,0,0
455,1840,1,2
456,1840,2,1
457,1840,3,3
458,1840,4,4
459,1855,0,0
460,1855,1,1
461,1855,2,2
462,1855,3,3
463,1870,0,0
464,1870,1,2
465,1870,2,1
466,1870,3,3
467,1885,0,0
468,1885,1,1
469,1885,2,2
470,1885,3,3
471,1885,4,4
472,1900,0,0
473,1900,1,1
474,1915,0,0
475,1915,1,1
476,1915,2,2
477,1930,0,0
478,1930,1,1
479,1930,2,2
480,1945,0,0
481,1945,1,1
482,1945,2,2
483,1945,3,3
484,1960,0,0
485,1960,1,1
486,1975,0,0
487,1975,1,1
488,1975,2,2
489,1990,0,0
490,1990,1,1
491,1990,2,2
492,1990,3,3
493,2005,0,0
494,2005,1,1
495,2005,2,2
496,2005,3,3
497,2005,4,4
498,2020,0,0
499,2020,1,2
500,2020,2,1
501,2020,3,3
502,2020,4,4
503,2035,0,0
504,2035,1,1
505,2035,2,2
506,2035,3,4
507,2050,0,0
508,2050,1,1
509,2050,2,2
510,2050,3,3
511,2065,0,0
512,2065,1,1
513,2065,2,2
514,2065,3,3
515,2080,0,0
516,2080,1,1
517,2080,2,2
518,2080,3,4
519,2095,0,0
520,2095,1,1
521,2095,2,2
522,2095,3,3
523,2095,4,4
524,2110,0,0
525,2110,1,1
526,2110,2,2
527,2110,3,3
528,2110,4,4
529,2125,0,0
530,2125,1,1
531,2125,2,2
532,2125,3,3
533,2125,4,4
534,2140,0,0
535,2140,1,1
536,2140,2,2
537,2140,3,3
538,2140,4,4
539,2155,0,1
540,2155,1,0
541,2155,2,2
542,2155,3,3
543,2170,0,0
544,2170,1,2
545,2170,2,1
546,2170,3,3
547,2185,0,0
548,2185,1,1
549,2185,2,2
550,2185,3,3
551,2200,0,0
552,2200,1,1
553,2200,2,2
554,2200,3,3
555,2215,0,0
556,2215,1,1
557,2215,2,2
558,2230,0,0
559,2230,1,1
560,2230,2,2
561,2230,3,3
562,2230,4,4
563,2245,0,0
564,2245,1,1
565,2245,2,2
566,2245,3,3
567,2245,4,4
568,2260,0,0
569,2260,1,1
570,2260,2,2
571,2275,0,0
572,2275,1,1
573,2275,2,2
574,2290,0,0
575,2290,1,1
576,2290,2,2
577,2305,0,0
578,2305,1,1
579,2305,2,2
580,2305,3,3
581,2320,0,0
582,2320,1,1
583,2320,2,2
584,2335,0,0
585,2335,1,1
586,2335,2,2
587,2350,0,0
588,2350,1,1
589,2350,2,2
590,2365,0,0
591,2365,1,1
592,2365,2,2
593,2380,0,0
594,2380,1,1
595,2380,2,2
596,2380,3,3
597,2395,0,0
598,2395,1,1
599,2395,2,2
600,2395,3,3
601,2410,0,0
602,2410,1,1
603,2410,2,2
604,2410,3,3
605,2425,0,0
606,2425,1,1
607,2425,2,2
608,2440,0,0
609,2440,1,2
610,2440,2,1
611,2440,3,3
612,2440,4,4
613,2455,0,0
614,2455,1,1
615,2455,2,2
616,2455,3,3
617,2470,0,0
618,2470,1,1
619,2470,2,2
620,2485,0,0
621,2485,1,1
622,2485,2,2
623,2500,0,0
624,2500,1,1
625,2500,2,2
626,2515,0,0
627,2515,1,1
628,2515,2,2
629,2515,3,3
630,2530,0,0
631,2530,1,2
632,2530,2,1
633,2530,3,3
634,2530,4,4
635,2545,0,0
636,2545,1,1
637,2545,2,2
638,2560,0,0
639,2560,1,1
640,2560,2,2
641,2575,0,0
642,2575,1,2
643,2575,2,1
644,2575,3,3
645,2575,4,4
646,2590,0,0
647,2590,1,2
648,2590,2,1
649,2605,0,0
650,2605,1,1
651,2605,2,2
652,2605,3,3
653,2605,4,4
654,2620,0,0
655,2620,1,1
656,2620,2,2
657,2620,3,3
658,2635,0,0
659,2635,1,1
660,2635,2,2
661,2650,0,0
662,2650,1,1
663,2650,2,2
664,2650,3,3
665,2665,0,0
666,2665,1,1
667,2665,2,2
668,2680,0,0
669,2680,1,1
670,2695,0,0
671,2695,1,1
672,2710,0,0
673,2710,1,1
674,2710,2,2
675,2710,3,3
676,2725,0,0
677,2725,1,1
678,2725,2,2
679,2725,3,4
680,2740,0,0
681,2740,1,1
682,2740,2,2
683,2740,3,3
684,2740,4,4
685,2755,0,0
686,2755,1,1
687,2755,2,2
688,2770,0,0
689,2770,1,1
690,2770,2,2
691,2785,0,0
692,2785,1,1
693,2800,0,0
694,2800,1,1
695,2800,2,2
696,2800,3,3
697,2815,0,0
698,2815,1,1
699,2815,2,2
700,2815,3,3
701,2830,0,0
702,2830,1,1
703,2830,2,2
704,2845,0,0
705,2845,1,1
706,2845,2,2
707,2860,0,0
708,2860,1,1
709,2860,2,2
710,2860,3,3
711,2875,0,0
712,2875,1,1
713,2875,2,2
714,2875,3,3
715,2890,0,0
716,2890,1,2
717,2890,2,1
718,2905,0,0
719,2905,1,1
720,2905,2,2
721,2920,0,0
722,2920,1,1
723,2920,2,2
724,2920,3,3
725,2935,0,0
726,2935,1,1
727,2935,2,2
728,2935,3,3
729,2935,4,4
730,2950,0,0
731,2950,1,1
732,2950,2,2
733,2950,3,4
734,2965,0,1
735,2965,1,0
736,2965,2,2
737,2980,0,0
738,2980,1,1
739,2980,2,2
740,2980,3,3
741,2995,0,0
742,2995,1,1
743,2995,2,2
744,2995,3,3
745,3010,0,0
746,3010,1,1
747,3010,2,2
748,3010,3,3
749,3025,0,0
750,3025,1,1
751,3025,2,2
752,3040,0,0
753,3040,1,1
754,3040,2,2
755,3055,0,0
756,3055,1,1
757,3055,2,3
758,3055,3,2
759,3070,0,0
760,3070,1,1
761,3070,2,2
762,3070,3,3
763,3085,0,0
764,3085,1,1
765,3085,2,2
766,3085,3,3
767,3085,4,4
768,3100,0,0
769,3100,1,1
770,3100,2,2
771,3100,3,3
772,3100,4,4
773,3115,0,0
774,3115,1,1
775,3115,2,2
776,3115,3,3
777,3130,0,0
778,3130,1,1
779,3130,2,2
780,3130,3,3
781,3130,4,4
782,3145,0,0
783,3145,1,1
784,3145,2,2
785,3145,3,3
786,3145,4,4
787,3160,0,0
788,3160,1,1
789,3160,2,2
790,3160,3,4
791,3160,4,3
792,3175,0,0
793,3175,1,1
794,3175,2,2
795,3190,0,0
796,3190,1,1
797,3190,2,2
798,3205,0,0
799,3205,1,1
800,3205,2,2
801,3205,3,3
802,3220,0,0
803,3220,1,1
804,3220,2,2
805,3235,0,0
806,3235,1,1
807,3235,2,2
808,3235,3,3
809,3250,0,0
810,3250,1,1
811,3250,2,2
812,3250,3,3
813,3250,4,4
814,3265,0,0
815,3265,1,1
816,3280,0,0
817,3280,1,1
818,3280,2,2
819,3280,3,3
820,3280,4,4
821,3295,0,0
822,3295,1,1
823,3295,2,2
